2017-03-01 12:48:10,856 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ClrTrp_POM:077:0.0.1-SNAPSHOT @ /Users/12045/Documents/2017/PageObjectModelFrmWrk/Eclipse_ClrTrp/077/pom.xml.
2017-03-01 12:48:11,457 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /077/src/main/java
2017-03-01 12:48:11,458 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /077/src/main/resources
2017-03-01 12:48:11,459 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /077/src/test/java
2017-03-01 12:48:11,459 [Worker-8] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /077/src/test/resources
2017-03-01 12:48:13,260 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-01 12:48:13,266 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-01 12:48:13,268 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-01 12:48:13,269 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-01 12:49:40,609 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: ClrTrp_POM:077:0.0.1-SNAPSHOT @ /Users/12045/Documents/2017/PageObjectModelFrmWrk/Eclipse_ClrTrp/077/pom.xml.
2017-03-01 12:49:41,334 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-01 12:49:41,341 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-01 12:49:41,344 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-01 12:49:41,345 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-01 12:50:03,967 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-03-01 12:50:08,374 [Worker-6] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/12045/Documents/2017/PageObjectModelFrmWrk/Eclipse_ClrTrp/077
2017-03-01 12:50:08,374 [Worker-6] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B 
2017-03-01 12:50:24,795 [Worker-18] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/12045/Documents/2017/PageObjectModelFrmWrk/Eclipse_ClrTrp/077
2017-03-01 12:50:24,796 [Worker-18] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B clean
2017-03-01 12:50:27,259 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-01 12:50:27,261 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-01 12:50:27,263 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-01 12:50:27,263 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-01 12:50:43,345 [Worker-9] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/12045/Documents/2017/PageObjectModelFrmWrk/Eclipse_ClrTrp/077
2017-03-01 12:50:43,345 [Worker-9] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2017-03-01 12:50:46,846 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-01 12:50:46,846 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-01 12:50:46,847 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-01 12:50:46,848 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-01 12:50:57,927 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-03-01 12:51:03,512 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/12045/Documents/2017/PageObjectModelFrmWrk/Eclipse_ClrTrp/077
2017-03-01 12:51:03,512 [Worker-16] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B 
2017-03-01 12:51:21,452 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-01 12:51:21,453 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-01 12:51:21,454 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-01 12:51:21,454 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-02 18:11:11,458 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-02 18:11:11,470 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-02 18:11:11,473 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2017-03-02 18:11:11,473 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-03-02 18:13:15,724 [Worker-49] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/12045/Documents/2017/PageObjectModelFrmWrk/Eclipse_ClrTrp/077
2017-03-02 18:13:15,727 [Worker-49] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B 
2017-03-02 18:13:28,770 [Worker-53] INFO  o.e.m.i.launch.MavenLaunchDelegate - /Users/12045/Documents/2017/PageObjectModelFrmWrk/Eclipse_ClrTrp/077
